Short Title,Case studies,Chapter(s),Original File Name,Section / Event Date,Author,Excerpt Type,Citation Status,Tags,Parent Volume,Full Title,Source Type,Notes & Description,File Upload,Page Range (PDF) (1),Page Range (original),Publication,Publication Date,Title
Histoire des livres populaires ou de la littérature du colportage… jusqu’à l’établissement de la commission d’examen des livres de colportage – 30 novembre 1852,Timbre de colportage (1852) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Case%20studies%201fca8fa33dc5802db431ebf4a5371615/Timbre%20de%20colportage%20(1852)%201ffa8fa33dc580a396f7fa4a311ef8c9.md),Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,,,,,,,,,
Ikelmer bankrupcy report/,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,,,,,,,,
Le droit: commerson report,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,,,,,,,,
Verite pour tous: commerson report,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,,,,,,,,
Victor Piarzot,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,,,,,,,,
REVUE DE L'ANNÉE 1862 PIÈCE en TROIS ACTES (La chanson),,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),LC 1863.01.15.pdf,,,,,,,,,,,,,,01/15/1863,
Du camp: mendiants,,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,,,,,,,,,,
Ordinance feb 63,,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,,,,,,,,,,
CLHAF1853_T2_pp1-6_PoesiesPopulaires,,,CLHAF1853_T2_pp1-6_PoesiesPopulaires,,,,,,1853-5_CLHAF_T2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1853-5_CLHAF_T2%201eea8fa33dc580cba5f2d0d162ec014e.md),,,,,,,,,
CLHAF1853_T2_pp25-32_ChansonsPopulaires,,,CLHAF1853_T2_pp25-32_ChansonsPopulaires,,,,,,1853-5_CLHAF_T2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1853-5_CLHAF_T2%201eea8fa33dc580cba5f2d0d162ec014e.md),,,,,,,,,
,,,,,,,,,,,,,,,,,,
